path,notes_list
../dataset/albeniz/alb_esp1.mid,"[78, 58, 66, 64, 61, 72, 61, 70]"
../dataset/albeniz/alb_se1.mid,"[75, 77, 55, 84, 57, 53, 57, 72, 81, 70, 78]"
../dataset/albeniz/alb_esp6.mid,"[65, 74, 70, 79, 74, 76, 83]"
../dataset/albeniz/alb_se7.mid,"[75, 74, 57, 66, 60, 90, 73, 90, 65, 69, 56, 77, 67]"
../dataset/albeniz/alb_esp3.mid,"[79, 76, 94, 63, 65, 75, 66, 64, 74, 78, 87, 77, 69, 73, 95]"
../dataset/albeniz/alb_se2.mid,"[70, 79, 67, 74, 60, 73, 63]"
../dataset/mozart/mz_331_3.mid,"[71, 78, 73, 86, 72, 79, 76, 79, 78, 77, 69, 74, 73, 85, 74, 82, 75]"
../dataset/mozart/mz_332_2.mid,"[74, 65, 77, 81, 75, 75, 72, 78, 73, 74, 74, 71, 74, 77, 72, 64, 74, 76, 70, 82, 76, 74, 77]"
../dataset/mozart/mz_570_2.mid,"[74, 70, 70, 82, 75, 74, 75, 73, 73, 76, 77, 74, 79, 76]"
../dataset/mozart/mz_330_3.mid,"[76, 74, 67, 76, 67, 77, 70, 70, 78, 71, 79, 77, 68, 75, 74, 77, 81, 76]"
../dataset/mozart/mz_545_3.mid,"[80, 75, 79, 73, 64, 77, 74, 73, 76, 75, 77, 74, 79]"
../dataset/mozart/mz_332_1.mid,"[73, 75, 77, 81, 64, 80, 67, 68, 79, 67, 67, 72, 73, 66, 72, 74, 74, 74, 71]"
../dataset/mozart/mz_331_2.mid,"[72, 81, 83, 64, 71, 78, 76, 80, 77, 78, 77, 80, 66, 76, 71, 68, 79, 61, 73, 73, 66, 72, 75, 69, 85]"
../dataset/mozart/mz_333_1.mid,"[75, 74, 79, 61, 72, 80, 74, 69, 78, 71, 79, 75, 75, 67, 76, 76, 74, 78]"
../dataset/mozart/mz_311_1.mid,"[75, 75, 86, 78, 77, 82, 79, 74, 79, 79, 77, 77, 80, 73, 78, 76, 77, 75, 75, 73]"
../dataset/mozart/mz_333_2.mid,"[73, 70, 68, 72, 71, 68, 67, 72, 72, 80, 76, 71, 70, 68, 68, 75, 72, 63, 70, 74]"
../dataset/mozart/mz_330_1.mid,"[76, 79, 80, 77, 82, 72, 78, 77, 73, 74, 67, 77, 69, 77, 74, 76, 69, 74, 76, 76]"
