,path,notes_list,str_notes
89,../dataset/beeth/waldstein_3.mid,"[73, 69, 58, 58, 83, 59, 52, 88, 91, 65, 79, 65, 91, 72, 66, 73, 79, 71, 80, 72, 79, 68]",C♯5 A4 A♯3 A♯3 B5 B3 E3 E6 G6 F4 G5 F4 G6 C5 F♯4 C♯5 G5 B4 G♯5 C5 G5 G♯4
90,../dataset/beeth/beethoven_opus10_1.mid,"[70, 73, 70, 63, 70, 79, 78, 54, 67, 70, 59, 65, 65, 74, 57, 67]",A♯4 C♯5 A♯4 D♯4 A♯4 G5 F♯5 F♯3 G4 A♯4 B3 F4 F4 D5 A3 G4
91,../dataset/beeth/beethoven_opus22_2.mid,"[69, 51, 65, 50, 75, 65, 67, 69, 71, 80, 75, 68, 57, 59, 72, 53, 67, 71, 64]",A4 D♯3 F4 D3 D♯5 F4 G4 A4 B4 G♯5 D♯5 G♯4 A3 B3 C5 F3 G4 B4 E4
92,../dataset/beeth/waldstein_1.mid,"[75, 71, 85, 86, 67, 83, 73, 74, 83, 77, 62, 64, 53, 66, 79, 88, 68, 79, 80, 75, 72]",D♯5 B4 C♯6 D6 G4 B5 C♯5 D5 B5 F5 D4 E4 F3 F♯4 G5 E6 G♯4 G5 G♯5 D♯5 C5
93,../dataset/beeth/beethoven_opus22_1.mid,"[70, 76, 58, 62, 67, 75, 74, 60, 80, 84, 65, 82, 59, 75, 64, 60, 68, 77, 68, 68, 67]",A♯4 E5 A♯3 D4 G4 D♯5 D5 C4 G♯5 C6 F4 A♯5 B3 D♯5 E4 C4 G♯4 F5 G♯4 G♯4 G4
94,../dataset/beeth/beethoven_les_adieux_3.mid,"[77, 70, 70, 91, 68, 82, 84, 72, 74, 73, 94, 87, 72, 78, 78, 74, 74]",F5 A♯4 A♯4 G6 G♯4 A♯5 C6 C5 D5 C♯5 A♯6 D♯6 C5 F♯5 F♯5 D5 D5
95,../dataset/beeth/pathetique_1.mid,"[73, 65, 77, 68, 63, 77, 72, 71, 84, 70, 71, 71, 60, 59, 63, 66, 75, 63, 69]",C♯5 F4 F5 G♯4 D♯4 F5 C5 B4 C6 A♯4 B4 B4 C4 B3 D♯4 F♯4 D♯5 D♯4 A4
96,../dataset/beeth/mond_3.mid,"[73, 63, 55, 76, 76, 82, 58, 79, 71, 69, 76, 76, 64, 70, 65, 61, 67, 68, 49, 66, 72]",C♯5 D♯4 G3 E5 E5 A♯5 A♯3 G5 B4 A4 E5 E5 E4 A♯4 F4 C♯4 G4 G♯4 C♯3 F♯4 C5
97,../dataset/beeth/beethoven_hammerklavier_2.mid,"[72, 75, 78, 75, 73, 66, 75, 73, 74, 76, 67, 70, 73, 65, 72, 74, 59, 86]",C5 D♯5 F♯5 D♯5 C♯5 F♯4 D♯5 C♯5 D5 E5 G4 A♯4 C♯5 F4 C5 D5 B3 D6
98,../dataset/beeth/beethoven_opus10_3.mid,"[71, 48, 65, 71, 60, 63, 60, 48, 63, 53, 73, 60, 60, 62, 57, 66, 67, 71, 54, 55]",B4 C3 F4 B4 C4 D♯4 C4 C3 D♯4 F3 C♯5 C4 C4 D4 A3 F♯4 G4 B4 F♯3 G3
99,../dataset/beeth/appass_3.mid,"[73, 69, 69, 67, 61, 64, 63, 84, 67, 48, 57, 61, 55, 61, 66, 71, 59, 73, 83, 47, 69, 71]",C♯5 A4 A4 G4 C♯4 E4 D♯4 C6 G4 C3 A3 C♯4 G3 C♯4 F♯4 B4 B3 C♯5 B5 B2 A4 B4
100,../dataset/albeniz/alb_esp4.mid,"[72, 69, 70, 68, 71, 72, 78, 77, 77]",C5 A4 A♯4 G♯4 B4 C5 F♯5 F5 F5
101,../dataset/albeniz/alb_se5.mid,"[71, 69, 69, 86, 66, 71, 63, 70, 63, 90]",B4 A4 A4 D6 F♯4 B4 D♯4 A♯4 D♯4 F♯6
102,../dataset/albeniz/alb_se4.mid,"[72, 68, 64, 93, 71, 69, 74, 77, 80, 63, 66, 70]",C5 G♯4 E4 A6 B4 A4 D5 F5 G♯5 D♯4 F♯4 A♯4
103,../dataset/albeniz/alb_esp2.mid,"[69, 57, 73, 57, 71, 61, 67, 65, 76, 69]",A4 A3 C♯5 A3 B4 C♯4 G4 F4 E5 A4
104,../dataset/albeniz/alb_se3.mid,"[74, 62, 75, 72, 84, 74, 85, 84, 69, 57, 59, 70]",D5 D4 D♯5 C5 C6 D5 C♯6 C6 A4 A3 B3 A♯4
105,../dataset/albeniz/alb_se6.mid,"[76, 65, 76, 68, 86, 77, 70, 71, 74, 81, 65, 82, 68, 68]",E5 F4 E5 G♯4 D6 F5 A♯4 B4 D5 A5 F4 A♯5 G♯4 G♯4
106,../dataset/albeniz/alb_esp1.mid,"[78, 58, 66, 64, 61, 72, 61, 70]",F♯5 A♯3 F♯4 E4 C♯4 C5 C♯4 A♯4
107,../dataset/albeniz/alb_se1.mid,"[75, 77, 55, 84, 57, 53, 57, 72, 81, 70, 78]",D♯5 F5 G3 C6 A3 F3 A3 C5 A5 A♯4 F♯5
108,../dataset/albeniz/alb_se7.mid,"[75, 74, 57, 66, 60, 90, 73, 90, 65, 69, 56, 77, 67]",D♯5 D5 A3 F♯4 C4 F♯6 C♯5 F♯6 F4 A4 G♯3 F5 G4
109,../dataset/albeniz/alb_esp3.mid,"[79, 76, 94, 63, 65, 75, 66, 64, 74, 78, 87, 77, 69, 73, 95]",G5 E5 A♯6 D♯4 F4 D♯5 F♯4 E4 D5 F♯5 D♯6 F5 A4 C♯5 B6
110,../dataset/mozart/mz_331_3.mid,"[71, 78, 73, 86, 72, 79, 76, 79, 78, 77, 69, 74, 73, 85, 74, 82, 75]",B4 F♯5 C♯5 D6 C5 G5 E5 G5 F♯5 F5 A4 D5 C♯5 C♯6 D5 A♯5 D♯5
111,../dataset/mozart/mz_570_2.mid,"[74, 70, 70, 82, 75, 74, 75, 73, 73, 76, 77, 74, 79, 76]",D5 A♯4 A♯4 A♯5 D♯5 D5 D♯5 C♯5 C♯5 E5 F5 D5 G5 E5
112,../dataset/mozart/mz_330_3.mid,"[76, 74, 67, 76, 67, 77, 70, 70, 78, 71, 79, 77, 68, 75, 74, 77, 81, 76]",E5 D5 G4 E5 G4 F5 A♯4 A♯4 F♯5 B4 G5 F5 G♯4 D♯5 D5 F5 A5 E5
113,../dataset/mozart/mz_545_3.mid,"[80, 75, 79, 73, 64, 77, 74, 73, 76, 75, 77, 74, 79]",G♯5 D♯5 G5 C♯5 E4 F5 D5 C♯5 E5 D♯5 F5 D5 G5
114,../dataset/mozart/mz_332_1.mid,"[73, 75, 77, 81, 64, 80, 67, 68, 79, 67, 67, 72, 73, 66, 72, 74, 74, 74, 71]",C♯5 D♯5 F5 A5 E4 G♯5 G4 G♯4 G5 G4 G4 C5 C♯5 F♯4 C5 D5 D5 D5 B4
115,../dataset/mozart/mz_333_1.mid,"[75, 74, 79, 61, 72, 80, 74, 69, 78, 71, 79, 75, 75, 67, 76, 76, 74, 78]",D♯5 D5 G5 C♯4 C5 G♯5 D5 A4 F♯5 B4 G5 D♯5 D♯5 G4 E5 E5 D5 F♯5
